Title,Year,Genre,RunTime,Rating,Votes,Director,Cast,Gross
The Conversation,1974,Drama;Mystery;Thriller,113,7.8,100624,Francis Ford Coppola,Gene Hackman;John Cazale;Allen Garfield;Frederic Forrest,4.42
The Godfather: Part III,1990,Crime;Drama,162,7.6,365307,Francis Ford Coppola,Al Pacino;Diane Keaton;Andy Garcia;Talia Shire,66.67
Bhaag Milkha Bhaag,2013,Biography;Drama;Sport,186,8.2,61696,Rakeysh Omprakash Mehra,Farhan Akhtar;Sonam Kapoor;Pawan Malhotra;Art Malik,1.63
Rang De Basanti,2006,Comedy;Crime;Drama,167,8.2,113257,Rakeysh Omprakash Mehra,Aamir Khan;Soha Ali Khan;Siddharth;Sharman Joshi,2.2
The Lives of Others,2006,Drama;Mystery;Thriller,137,8.4,363561,Florian Henckel von Donnersmarck,Ulrich Mühe;Martina Gedeck;Sebastian Koch;Ulrich Tukur,11.29
In a Lonely Place,1950,Drama;Film-Noir;Mystery,94,8,27393,Nicholas Ray,Humphrey Bogart;Gloria Grahame;Frank Lovejoy;Carl Benton Reid,-1
Rebel Without a Cause,1955,Drama,111,7.7,84449,Nicholas Ray,James Dean;Natalie Wood;Sal Mineo;Jim Backus,-1
My Cousin Vinny,1992,Comedy;Crime,120,7.6,109246,Jonathan Lynn,Joe Pesci;Marisa Tomei;Ralph Macchio;Mitchell Whitfield,52.93
The Silence of the Lambs,1991,Crime;Drama;Thriller,118,8.6,1290509,Jonathan Demme,Jodie Foster;Anthony Hopkins;Lawrence A. Bonney;Kasi Lemmons,130.74
Hidden Figures,2016,Biography;Drama;History,127,7.8,205055,Theodore Melfi,Taraji P. Henson;Octavia Spencer;Janelle Monáe;Kevin Costner,169.61
Philadelphia,1993,Drama,125,7.7,226826,Jonathan Demme,Tom Hanks;Denzel Washington;Roberta Maxwell;Buzz Kilman,77.32
Star Trek II: The Wrath of Khan,1982,Action;Adventure;Sci-Fi,113,7.7,113741,Nicholas Meyer,William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan,78.91
3 Idiots,2009,Comedy;Drama,170,8.4,350494,Rajkumar Hirani,Aamir Khan;Madhavan;Mona Singh;Sharman Joshi,6.53
PK,2014,Comedy;Drama;Musical,153,8.1,165370,Rajkumar Hirani,Aamir Khan;Anushka Sharma;Sanjay Dutt;Boman Irani,10.62
Lage Raho Munna Bhai,2006,Comedy;Drama;Romance,144,8.1,43519,Rajkumar Hirani,Sanjay Dutt;Arshad Warsi;Vidya Balan;Boman Irani,2.22
Munna Bhai M.B.B.S.,2003,Comedy;Drama,156,8.1,74712,Rajkumar Hirani,Sanjay Dutt;Arshad Warsi;Gracy Singh;Sunil Dutt,-1
4 luni;3 saptamâni si 2 zile,2007,Drama,113,7.9,57178,Cristian Mungiu,Anamaria Marinca;Laura Vasiliu;Vlad Ivanov;Alexandru Potocean,1.19
Days of Heaven,1978,Drama;Romance,94,7.8,53676,Terrence Malick,Richard Gere;Brooke Adams;Sam Shepard;Linda Manz,-1
Badlands,1973,Action;Crime;Drama,94,7.8,67110,Terrence Malick,Martin Sheen;Sissy Spacek;Warren Oates;Ramon Bieri,-1
Kai po che!,2013,Drama;Sport,130,7.7,33092,Abhishek Kapoor,Amit Sadh;Sushant Singh Rajput;Rajkummar Rao;Amrita Puri,1.12
Good Bye Lenin!,2003,Comedy;Drama;Romance,121,7.7,139157,Wolfgang Becker,Daniel Brühl;Katrin Saß;Chulpan Khamatova;Florian Lukas,4.06
50/50,2011,Comedy;Drama;Romance,100,7.6,317277,Jonathan Levine,Joseph Gordon-Levitt;Seth Rogen;Anna Kendrick;Bryce Dallas Howard,35.01
The Thin Red Line,1998,Drama;War,170,7.6,174780,Terrence Malick,Jim Caviezel;Sean Penn;Nick Nolte;Kirk Acevedo,36.4
Ladri di biciclette,1948,Drama,89,8.3,149019,Vittorio De Sica,Lamberto Maggiorani;Enzo Staiola;Lianella Carell;Elena Altieri,0.33
Dare mo shiranai,2004,Drama,141,8.1,25312,Hirokazu Koreeda,Yûya Yagira;Ayu Kitaura;Hiei Kimura;Momoko Shimizu,0.68
Le notti di Cabiria,1957,Drama,110,8.1,43502,Federico Fellini,Giulietta Masina;François Périer;Franca Marzi;Dorian Gray,0.75
Slumdog Millionaire,2008,Drama;Romance,120,8,805269,Loveleen Tandan,Dev Patel;Freida Pinto;Saurabh Shukla;Anil Kapoor,141.32
The Pursuit of Happyness,2006,Biography;Drama,117,8,455692,Gabriele Muccino,Will Smith;Thandiwe Newton;Jaden Smith;Brian Howe,163.57
8½,1963,Drama,138,8,110220,Federico Fellini,Marcello Mastroianni;Anouk Aimée;Claudia Cardinale;Sandra Milo,0.05
La dolce vita,1960,Comedy;Drama,174,8,67539,Federico Fellini,Marcello Mastroianni;Anita Ekberg;Anouk Aimée;Yvonne Furneaux,19.52
La Strada,1954,Drama,108,8,58967,Federico Fellini,Anthony Quinn;Giulietta Masina;Richard Basehart;Aldo Silvani,-1
Manbiki kazoku,2018,Crime;Drama,121,7.9,65261,Hirokazu Koreeda,Lily Franky;Sakura Andô;Kirin Kiki;Mayu Matsuoka,3.31
Amarcord,1973,Comedy;Drama,123,7.9,40435,Federico Fellini,Magali Noël;Bruno Zanin;Pupella Maggio;Armando Brancia,0.29
Udta Punjab,2016,Action;Crime;Drama,148,7.8,27502,Abhishek Chaubey,Shahid Kapoor;Alia Bhatt;Kareena Kapoor;Diljit Dosanjh,-1
Seven Pounds,2008,Drama,123,7.6,288937,Gabriele Muccino,Will Smith;Rosario Dawson;Woody Harrelson;Michael Ealy,69.95
Das Boot,1981,Adventure;Drama;Thriller,149,8.3,234564,Wolfgang Petersen,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann;Hubertus Bengsch,11.49
Andaz Apna Apna,1994,Action;Comedy;Romance,160,8.2,49686,Rajkumar Santoshi,Aamir Khan;Salman Khan;Raveena Tandon;Karisma Kapoor,-1
Jûbê ninpûchô,1993,Animation;Action;Adventure,94,7.9,34935,Yoshiaki Kawajiri,Kôichi Yamadera;Emi Shinohara;Takeshi Aono;Osamu Saka,-1
Vampire Hunter D: Bloodlust,2000,Animation;Action;Fantasy,103,7.7,29606,Yoshiaki Kawajiri,Andrew Philpot;John Rafter Lee;Pamela Adlon;Wendee Lee,0.15
Nuovo Cinema Paradiso,1988,Drama;Romance,155,8.5,234745,Giuseppe Tornatore,Philippe Noiret;Enzo Cannavale;Antonella Attili;Isa Danieli,11.99
Swades: We;the People,2004,Drama,210,8.2,83837,Ashutosh Gowariker,Shah Rukh Khan;Gayatri Joshi;Kishori Ballal;Smit Sheth,1.22
Lagaan: Once Upon a Time in India,2001,Drama;Musical;Sport,224,8.1,106022,Ashutosh Gowariker,Aamir Khan;Raghuvir Yadav;Gracy Singh;Rachel Shelley,0.07
La leggenda del pianista sull'oceano,1998,Drama;Music;Romance,169,8.1,59737,Giuseppe Tornatore,Tim Roth;Pruitt Taylor Vince;Mélanie Thierry;Bill Nunn,0.26
La migliore offerta,2013,Crime;Drama;Mystery,131,7.8,110231,Giuseppe Tornatore,Geoffrey Rush;Jim Sturgess;Sylvia Hoeks;Donald Sutherland,0.09
Il conformista,1970,Drama,113,8,27666,Bernardo Bertolucci,Jean-Louis Trintignant;Stefania Sandrelli;Gastone Moschin;Enzo Tarascio,0.54
The Last Emperor,1987,Biography;Drama;History,163,7.7,95744,Bernardo Bertolucci,John Lone;Joan Chen;Peter O'Toole;Ruocheng Ying,43.98
The Jungle Book,1967,Animation;Adventure;Family,78,7.6,168228,Wolfgang Reitherman,Phil Harris;Sebastian Cabot;Louis Prima;Bruce Reitherman,141.84
Kari-gurashi no Arietti,2010,Animation;Adventure;Family,94,7.6,82718,Hiromasa Yonebayashi,Amy Poehler;Will Arnett;Mirai Shida;Ryûnosuke Kamiki,19.2
Omoide no Mânî,2014,Animation;Drama;Family,103,7.7,34001,Hiromasa Yonebayashi,Sara Takatsuki;Kasumi Arimura;Nanako Matsushima;Susumu Terajima,0.77
K.G.F: Chapter 1,2018,Action;Drama,156,8.2,38533,Prashanth Neel,Yash;Srinidhi Shetty;Ramachandra Raju;Archana Jois,-1
Drishyam,2015,Crime;Drama;Mystery,163,8.2,72556,Nishikant Kamat,Ajay Devgn;Shriya Saran;Tabu;Rajat Kapoor,0.74
The Message,1976,Biography;Drama;History,177,8.2,44375,Moustapha Akkad,Anthony Quinn;Irene Papas;Michael Ansara;Johnny Sekka,-1
Nebraska,2013,Adventure;Comedy;Drama,115,7.7,113242,Alexander Payne,Bruce Dern;Will Forte;June Squibb;Bob Odenkirk,17.65
Paan Singh Tomar,2012,Action;Biography;Crime,135,8.2,33576,Tigmanshu Dhulia,Irrfan Khan;Mahie Gill;Rajesh Abhay;Hemendra Dandotiya,0.04
Cowboy Bebop: Tengoku no tobira,2001,Animation;Action;Crime,115,7.9,43466,Yoshiyuki Takei,Beau Billingslea;Melissa Fahn;Nicholas Guest;Kôichi Yamadera,1
Joyeux Noël,2005,Drama;History;Music,116,7.7,28181,Christian Carion,Diane Kruger;Benno Fürmann;Guillaume Canet;Natalie Dessay,1.05
Pan's Labyrinth,2006,Drama;Fantasy;War,118,8.2,625032,Guillermo del Toro,Ivana Baquero;Ariadna Gil;Sergi López;Maribel Verdú,37.63
Victoria,2015,Crime;Drama;Romance,138,7.6,54015,Sebastian Schipper,Laia Costa;Frederick Lau;Franz Rogowski;Burak Yigit,-1
Trois couleurs: Rouge,1994,Drama;Mystery;Romance,99,8.1,92475,Krzysztof Kieslowski,Irène Jacob;Jean-Louis Trintignant;Frédérique Feder;Jean-Pierre Lorit,4.04
Trois couleurs: Bleu,1993,Drama;Music;Mystery,94,7.9,91690,Krzysztof Kieslowski,Juliette Binoche;Zbigniew Zamachowski;Julie Delpy;Benoît Régent,1.32
La montaña sagrada,1973,Adventure;Drama;Fantasy,114,7.9,38092,Alejandro Jodorowsky,Alejandro Jodorowsky;Horacio Salinas;Zamira Saunders;Juan Ferrara,0.06
La double vie de Véronique,1991,Drama;Fantasy;Music,98,7.8,43364,Krzysztof Kieslowski,Irène Jacob;Wladyslaw Kowalski;Halina Gryglaszewska;Kalina Jedrusik,2
Trois couleurs: Blanc,1994,Comedy;Drama;Romance,92,7.6,65792,Krzysztof Kieslowski,Zbigniew Zamachowski;Julie Delpy;Janusz Gajos;Jerzy Stuhr,1.46
Sweet Smell of Success,1957,Drama;Film-Noir,96,8,28659,Alexander Mackendrick,Burt Lancaster;Tony Curtis;Susan Harrison;Martin Milner,-1
The Ladykillers,1955,Comedy;Crime,91,7.7,26938,Alexander Mackendrick,Alec Guinness;Peter Sellers;Cecil Parker;Herbert Lom,-1
Pink,2016,Drama;Thriller,136,8.1,39924,Aniruddha Roy Chowdhury,Taapsee Pannu;Amitabh Bachchan;Kirti Kulhari;Andrea Tariang,1.24
